"AnnualRefresh","Area","CompanyAltName","CompanyName","Degree","EquitySchedule","Experience","ExperienceLevel","GreenCard","JobFunction","JobType","Level","OtherOffer","PositionType","PostTime","PostTitle","PostUser","PromotionPkg","RelocationFee","Satisfaction","Season","Source","SpiderTime","URL","Year","_type"
"-","BayArea","Zume","-","本科","25%, 1/36 monthly","5-10年","在职跳槽","-","码农类General","全职","3","未谈判，手头上有一个E轮Start up offer","IC (Individual Contributor 技术岗，不管人)","2018-10-6 13:58:08","B轮Start up求分析","rainbowfart","-","5000","谈判好的话会去","7-9月","Other","1.538876811301E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447721&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","Amazon","博士","5/15/40/40","fresh grad 无实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-6 05:15:35","amazon 地板包求大米","逐日追风","-","-","-","7-9月","内推","1.53887681195E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447621&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","Google","硕士","4 years","1-3年","fresh grad应届毕业生","-","码农类General","全职","-","apple pinterest fb square purestorage houzz","IC (Individual Contributor 技术岗，不管人)","null","Google T4 initial 大包","shiloh00","-","-","-","7-9月","猎头","1.538876812048E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=435258&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","Greater Boston Area","Mathworks","-","硕士","-","<3个月短暂实习/全职","fresh grad应届毕业生","给办H1B，抽到之后给办绿卡","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-9-30 11:08:17","Mathworks new Grad return offer 小包","xguo123","-","-","可能去","7-9月","实习ReturnOffer","1.538876813293E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=446272&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","doordash","-","博士","4年(25%+25%+25%+25%)","3个月-1年","在职跳槽","eb2","分析|数据科学类","全职","4","无","IC (Individual Contributor 技术岗，不管人)","2018-10-6 14:41:11","D轮公司offer，求谈RSU建议","倒序浏览","-","-","-","7-9月","Other","1.538876813868E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447730&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","Facebook","硕士","不知道","3-5年","在职跳槽","-","码农类General","全职","4","-","IC (Individual Contributor 技术岗，不管人)","2018-9-30 03:13:36","FB，Uber，Apple 去哪个","edixcr","-","-","-","7-9月","网上海投","1.538876816194E12","http://www.1point3acres.com/bbs/thread-445379-1-1.html","2018","TrailItem"
"每年目标是底薪的25%约等于$50K(分四年）","Greater New York Area","熨斗健康","-","硕士","N/A","5-10年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-5 11:20:42","熨斗健康（纽约的癌症数据科技公司）猎奇包囊","pbdpbd123","-","-","-","7-9月","猎头","1.538876816408E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=439039&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","Greater New York Area","-","Bloomberg","硕士","none","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","-","dell，钱少很多","IC (Individual Contributor 技术岗，不管人)","null","BB new grad标准包","woyuxuxu1234","-","10k","去","7-9月","内推","1.538876817139E12","http://www.1point3acres.com/bbs/thread-443608-1-1.html","2018","TrailItem"
"-","BayArea","-","Linkedin","硕士","4 years","1-3年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-9-30 13:37:11","linkedin 包裹，顺便求offer比较","倒序浏览","-","-","-","7-9月","内推","1.538876817961E12","http://www.1point3acres.com/bbs/thread-445950-1-1.html","2018","TrailItem"
"-","BayArea","Elementum","-","硕士","1/4 1/4 1/4 1/4","1-3年","在职跳槽","day 1","FrontEndEng","全职","-","其他 start up 和现在公司的 counter offer","IC (Individual Contributor 技术岗，不管人)","2018-10-3 01:50:02","Elementum 前端 一年工作经验大包","EthanLoatr","-","-","马上deadline了，估计要签，等不到Linkedin的结果了","7-9月","猎头","1.538876818222E12","http://www.1point3acres.com/bbs/thread-443220-1-1.html","2018","TrailItem"
"-","BayArea","-","Apple","硕士","25-25-25-25","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","2","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 04:09:50","果家Return Offer 该怎么negotiate？","CriticalSection","-","-","挺喜欢apple的氛围的，加之组不错，还挺想去的～","7-9月","实习ReturnOffer","1.538876818263E12","http://www.1point3acres.com/bbs/thread-444550-1-1.html","2018","TrailItem"
"-","BayArea","-","Uber","硕士","1/4","1-3年","在职跳槽","-","码农类General","全职","2","还没谈 现在手里有Lyft","IC (Individual Contributor 技术岗，不管人)","2018-10-2 05:09:24","黑车不知是不是低球包+求建议","redpandaovo","-","-","不知道","7-9月","网上海投","1.538876818833E12","http://www.1point3acres.com/bbs/thread-446625-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Facebook","博士","25% 25% 25% 25%","<3个月短暂实习/全职","fresh grad应届毕业生","-","MachineLearningEng","全职","4","NV Cruise","IC (Individual Contributor 技术岗，不管人)","2018-10-2 01:36:37","FB诚意包","starsmiling","-","10K","非常满意 去！","7-9月","猎头","1.538876819432E12","http://www.1point3acres.com/bbs/thread-446561-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Microsoft","本科","3.5 years","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","60","-","IC (Individual Contributor 技术岗，不管人)","2018-9-30 04:37:45","MS 本科 return intern 包袱","jerryliuzy","-","5.5k","希望signon和stock都再高点","7-9月","实习ReturnOffer","1.538876820604E12","http://www.1point3acres.com/bbs/thread-446029-1-1.html","2018","TrailItem"
"-","BayArea","-","Lyft","硕士","4 years","1-3年","在职跳槽","3 months","分析|数据科学类","全职","4","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 11:21:41","Lyft Data Scientist L4 包裹","schwarzsakura","-","10k","yes","7-9月","网上海投","1.538876820772E12","http://www.1point3acres.com/bbs/thread-436212-1-1.html","2018","TrailItem"
"Not sure","BayArea","Verizon (Revvel)","-","硕士","3 years","3-5年","在职跳槽","3 months","码农类General","全职","3","Amazon/ Cisco(AppDynamics)/ Zipongo","IC (Individual Contributor 技术岗，不管人)","2018-10-3 02:48:32","Verizon (Revvel) offer/ Amazon offer 求比较","AdamCMU","-","-","Not sure","7-9月","猎头","1.538876821875E12","http://www.1point3acres.com/bbs/thread-297140-1-1.html","2017","TrailItem"
"-","Greater Seattle Area","-","Amazon","硕士","na","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","drawbridge","IC (Individual Contributor 技术岗，不管人)","2018-10-2 00:16:23","亚麻 sde1 package","gita","-","-","去","7-9月","内推","1.538876821899E12","http://www.1point3acres.com/bbs/thread-446540-1-1.html","2018","TrailItem"
"-","BayArea","-","VMWare","硕士","4","3-5年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 05:51:52","vmware senior MTS诚意包","xxtxdy","-","-","-","7-9月","内推","1.538876822048E12","http://www.1point3acres.com/bbs/thread-446887-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Amazon","硕士","分四年，5% + 15% + 40% + 40%","3个月-1年","在职跳槽","-","码农类General","全职","1","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 06:40:07","求比较amazon 和 yahoo","巨大的炮仗","-","1w","不清楚，求对比","7-9月","Other","1.538876823074E12","http://www.1point3acres.com/bbs/thread-446900-1-1.html","2018","TrailItem"
"-","BayArea","-","Pinterest","博士","0.25*4","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 02:57:00","P家 SRE offer","千里卜卜","-","10k","-","7-9月","网上海投","1.538876824458E12","http://www.1point3acres.com/bbs/thread-446835-1-1.html","2018","TrailItem"
"-","BayArea","-","Airbnb","本科","25/25/25/25","1-3年","在职跳槽","-","分析|数据科学类","全职","4","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 07:10:39","Airbnb Data Scientist, L4","drknjl","-","15000","-","7-9月","网上海投","1.538876824517E12","http://www.1point3acres.com/bbs/thread-287551-1-1.html","2017","TrailItem"
"-","BayArea","-","Google","硕士","25% , 25%, 25%, 25%","1-3年","在职跳槽","-","码农类General","全职","3","Indeed","IC (Individual Contributor 技术岗，不管人)","2018-10-2 05:12:03","跳槽到狗家包裹","hugotian0910","-","10K","打算去","7-9月","猎头","1.538876824753E12","http://www.1point3acres.com/bbs/thread-446626-1-1.html","2018","TrailItem"
"-","Chicago","Uptake","-","硕士","NA","3个月-1年","fresh grad应届毕业生","?","分析|数据科学类","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 10:17:36","Uptake DS @ Chicago - new grad","tianye2856","-","5000","已推","7-9月","内推","1.538876827399E12","http://www.1point3acres.com/bbs/thread-441827-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Amazon","本科","5 15 40 40","1-3年","在职跳槽","-","码农类General","全职","5","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 17:46:16","西雅图亚麻包 求意见","evileyed","-","10k","不出意外应该从了","7-9月","猎头","1.538876827803E12","http://www.1point3acres.com/bbs/thread-446775-1-1.html","2018","TrailItem"
"105,000 USD 左右","Greater New York Area","-","Uber","博士","25% 25% 25% 25%","5-10年","在职跳槽","还没问 应该是一进去就开始办吧 要不然就不去了","码农类General","全职","-","别的还没消息","IC (Individual Contributor 技术岗，不管人)","null","uber offer求鉴定","mitnato","没谈这个","-","犹豫中","7-9月","猎头","1.538876828017E12","http://www.1point3acres.com/bbs/thread-439170-1-1.html","2018","TrailItem"
"-","BayArea","黑石","-","硕士","n/a","1-3年","在职跳槽","-","码农类General","全职","-","blend","IC (Individual Contributor 技术岗，不管人)","2018-10-3 11:58:30","Offer 求比较, 黑石 vs Blend lab","zoey59","-","n/a","纠结","4-6月","网上海投","1.538876829036E12","http://www.1point3acres.com/bbs/thread-416523-1-1.html","2018","TrailItem"
"-","BayArea","-","Cisco","硕士","-","fresh grad 无实习/全职","fresh grad应届毕业生","-","码农类General","全职","062","None, still interviewing","IC (Individual Contributor 技术岗，不管人)","2018-9-30 22:36:52","西斯扣 New Grad","578635861","-","10k","非常可能，因为专业对口","7-9月","校园招聘会","1.53887682921E12","http://www.1point3acres.com/bbs/thread-445589-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","硕士","no cliff, monthly","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","3","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 09:28:24","Google standard package","18844549105","-","10500","-","7-9月","实习ReturnOffer","1.538876829249E12","http://www.1point3acres.com/bbs/thread-446943-1-1.html","2018","TrailItem"
"-","BayArea","Oath","Yahoo","硕士","3 years","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 01:41:37","Oath(Yahoo) SDE I","zzzzz666","-","up to 25k","-","7-9月","实习ReturnOffer","1.538876829377E12","http://www.1point3acres.com/bbs/thread-446820-1-1.html","2018","TrailItem"
"-","BayArea","GM cruise","-","博士","25% 25% 25% 25%","<3个月短暂实习/全职","fresh grad应届毕业生","-","MachineLearningEng","全职","-","NV FB","IC (Individual Contributor 技术岗，不管人)","2018-10-2 01:53:58","GM cruise诚意包","starsmiling","-","10K","-","7-9月","内推","1.538876831351E12","http://www.1point3acres.com/bbs/thread-446569-1-1.html","2018","TrailItem"
"-","BayArea","-","DrawBridge","硕士","na","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 00:10:54","画桥 new grad sde 包","gita","-","na","不去了T.T","7-9月","网上海投","1.538876832591E12","http://www.1point3acres.com/bbs/thread-446537-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","巨硬","-","硕士","4","5-10年","在职跳槽","-","码农类General","全职","-","none","IC (Individual Contributor 技术岗，不管人)","null","巨硬61让大家笑笑, 正在negotiate中","jimwallet","-","13500","this is bull shit","7-9月","猎头","1.5388768333E12","http://www.1point3acres.com/bbs/thread-441591-1-1.html","2018","TrailItem"
"-","BayArea","-","Intel","博士","n/a","fresh grad 无实习/全职","fresh grad应届毕业生","-","电路/电子/半导体类","全职","7","-","IC (Individual Contributor 技术岗，不管人)","2018-10-2 08:55:20","Intel Ph.D. offer - semiconductor device","henry060887","-","yes","-","4-6月","校园招聘会","1.538876833327E12","http://www.1point3acres.com/bbs/thread-429176-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Amazon","本科","5 15 40 40","5-10年","在职跳槽","-","码农类General","全职","5","ORACLE","IC (Individual Contributor 技术岗，不管人)","2018-9-30 18:15:48","回馈大地之AMAZON不知道啥包","geekhuh","-","-","Hiring Manager非常有诚意，如果没意外应该会","7-9月","猎头","1.538876833508E12","http://www.1point3acres.com/bbs/thread-446313-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","博士","25 25 25 25","fresh grad 无实习/全职","fresh grad应届毕业生","-","码农类General","全职","4","脸书","IC (Individual Contributor 技术岗，不管人)","2018-10-2 05:55:21","狗家fresh phd","GTmac","-","-","-","7-9月","猎头","1.538876834072E12","http://www.1point3acres.com/bbs/thread-446634-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","硕士","25 25 25 25","3-5年","在职跳槽","-","码农类General","全职","-","Linkedin","IC (Individual Contributor 技术岗，不管人)","2018-10-4 08:45:44","Google T4","bahblah","-","-","没更好的","4-6月","内推","1.538876834828E12","http://www.1point3acres.com/bbs/thread-431880-1-1.html","2018","TrailItem"
"-","Pittsburgh","-","Google","本科","4 yrs (uniform)","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","3","Quora, Citadel","IC (Individual Contributor 技术岗，不管人)","2018-10-4 01:08:00","匹村狗本标准","guguke","-","0 (local)","-","7-9月","实习ReturnOffer","1.538876835026E12","http://www.1point3acres.com/bbs/thread-447070-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Amazon","硕士","5 15 20 * 4","3-5年","在职跳槽","day 1","码农类General","全职","5","-","IC (Individual Contributor 技术岗，不管人)","2018-10-4 12:08:21","亚麻 SDE社招","alex_901","-","10k","-","7-9月","网上海投","1.538876835497E12","http://www.1point3acres.com/bbs/thread-438238-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Microsoft","博士","-","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","实习","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-4 13:38:30","微软西雅图实习标准包","dmwu0506","-","-","-","1-3月","Other","1.538876836473E12","http://www.1point3acres.com/bbs/thread-447235-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Microsoft","本科","3.5年","<3个月短暂实习/全职","fresh grad应届毕业生","-","PM类","全职","61","没申请其他公司 没谈判","IC (Individual Contributor 技术岗，不管人)","null","研究生new grad - 微软PM惊喜大礼包","xiaoruipearl","-","-","-","7-9月","实习ReturnOffer","1.538876837835E12","http://www.1point3acres.com/bbs/thread-436883-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","硕士","25%","3-5年","在职跳槽","-","码农类General","全职","4","APPLE, LINKEDIN","IC (Individual Contributor 技术岗，不管人)","2018-10-4 10:32:37","帮家属报谷歌 T4，苹果IC4， linkedin senior offer， 求建议","zhangjy529","-","-","-","7-9月","内推","1.538876839726E12","http://www.1point3acres.com/bbs/thread-444383-1-1.html","2018","TrailItem"
"-","美国其他地区","Walmart","-","硕士","4 years","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","Hyland","IC (Individual Contributor 技术岗，不管人)","2018-10-3 04:30:33","Walmart 总部 不知道什么样的包","小菜","-","-","-","7-9月","网上海投","1.538876840091E12","http://www.1point3acres.com/bbs/thread-446865-1-1.html","2018","TrailItem"
"NA","Greater Seattle Area","-","Amazon","硕士","5 15 40 40","3-5年","在职跳槽","NA","码农类General","全职","5","NA","IC (Individual Contributor 技术岗，不管人)","2018-10-4 12:11:56","亚麻SDEII","liushaobo","NA","10,000","从了Uber。去不鸟了。","7-9月","猎头","1.538876841997E12","http://www.1point3acres.com/bbs/thread-440462-1-1.html","2018","TrailItem"
"-","BayArea","-","SalesForce","硕士","25%","3个月-1年","fresh grad应届毕业生","办","分析|数据科学类","全职","-","negotiate了下sign on","IC (Individual Contributor 技术岗，不管人)","2018-10-4 13:28:20","卖力DS return offer","e神abc","-","5K","去","4-6月","实习ReturnOffer","1.538876843999E12","http://www.1point3acres.com/bbs/thread-298851-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","硕士","25, 25, 25, 25%","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","3","Bloomberg, Mathworks","IC (Individual Contributor 技术岗，不管人)","2018-10-5 03:49:04","标准的Google标准包，顺便求比较BB包","colden","-","10k","想去","1-3月","网上海投","1.538876845336E12","http://www.1point3acres.com/bbs/thread-353312-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","Nordstrom","-","硕士","None","fresh grad 无实习/全职","fresh grad应届毕业生","工作一年之後可辦","码农类General","实习","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-3 01:51:03","nordstrom的实习return","paul_hsu","-","5k","-","10-12月","实习ReturnOffer","1.538876845999E12","http://www.1point3acres.com/bbs/thread-439117-1-1.html","2018","TrailItem"
"-","Greater Seattle Area","-","Microsoft","本科","不知道","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","59","groupon, linkedin","IC (Individual Contributor 技术岗，不管人)","2018-10-2 03:33:02","Microsoft 本科包裹","aphyuan","-","-","肯定会签，但想argue一下","7-9月","Other","1.53887684688E12","http://www.1point3acres.com/bbs/thread-446601-1-1.html","2018","TrailItem"
"-","BayArea","-","Google","博士","4 yr","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","4","-","IC (Individual Contributor 技术岗，不管人)","2018-10-5 04:09:15","咕果博士地板包","lz1313lz","-","-","-","7-9月","实习ReturnOffer","1.538876847773E12","http://www.1point3acres.com/bbs/thread-447349-1-1.html","2018","TrailItem"
"-","BayArea","Oath","Yahoo","博士","1/3 * 3","<3个月短暂实习/全职","fresh grad应届毕业生","OPT","分析|数据科学类","全职","4","无其他offer","IC (Individual Contributor 技术岗，不管人)","2018-9-30 10:36:39","Oath Research Scientist Package","Hone.YF.Ma","-","25k","满意，很可能去","7-9月","实习ReturnOffer","1.538876847925E12","http://www.1point3acres.com/bbs/thread-445977-1-1.html","2018","TrailItem"
"-","BayArea","-","Paypal","硕士","3","1-3年","在职跳槽","-","码农类General","全职","3","-","IC (Individual Contributor 技术岗，不管人)","2018-10-5 07:54:52","Pay*pal小包","Sde","-","-","拒了","7-9月","猎头","1.538876849442E12","http://www.1point3acres.com/bbs/thread-440253-1-1.html","2018","TrailItem"
"-","BayArea","-","Quora","本科","4 yrs","<3个月短暂实习/全职","fresh grad应届毕业生","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-4 15:17:55","问答站本科包","guguke","-","-","-","7-9月","校园招聘会","1.53887684948E12","http://www.1point3acres.com/bbs/thread-447256-1-1.html","2018","TrailItem"
"-","Southern California","-","Amazon","博士","5 15 40 40","1-3年","在职跳槽","-","分析|数据科学类","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-5 08:01:29","南加DS Offer 求比较 求意见","whoji","-","0刀","-","4-6月","网上海投","1.538876851292E12","http://www.1point3acres.com/bbs/thread-432315-1-1.html","2018","TrailItem"
"-","Southern California","-","Snapchat","博士","1234","1-3年","在职跳槽","-","分析|数据科学类","全职","","-","-","2018-10-5 08:04:31","Snapchat Offer","maxareo","-","10k","No","10-12月","内推","1.538876851421E12","http://www.1point3acres.com/bbs/thread-208484-1-1.html","2016","TrailItem"
"没有","Southern California","-","Amazon","博士","typical","5-10年","在职跳槽","不需要","分析|数据科学类","全职","5","没有","IC (Individual Contributor 技术岗，不管人)","2018-10-5 08:02:28","亚麻5 offer","DylanU","没","20k","不去","7-9月","内推","1.538876851625E12","http://www.1point3acres.com/bbs/thread-437686-1-1.html","2018","TrailItem"
"每年目标是底薪的25%约等于$50K(分四年）","Greater New York Area","熨斗健康","-","硕士","N/A","5-10年","在职跳槽","-","码农类General","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-5 11:20:42","熨斗健康（纽约的癌症数据科技公司）猎奇包囊","pbdpbd123","-","-","-","7-9月","猎头","1.538876853502E12","http://www.1point3acres.com/bbs/thread-439039-1-1.html","2018","TrailItem"
"-","BayArea","-","Microsoft","硕士","3.5yr","<3个月短暂实习/全职","fresh grad应届毕业生","sponsor绿卡","码农类General","全职","60","还在面","IC (Individual Contributor 技术岗，不管人)","2018-10-5 11:19:48","微软湾区的包裹。。求大米","javaMonsterr","-","5k","-","4-6月","实习ReturnOffer","1.538876853551E12","http://www.1point3acres.com/bbs/thread-438972-1-1.html","2019","TrailItem"
"不清楚，反正第一年没有","Greater Seattle Area","-","Google","硕士","25% every year","3个月-1年","fresh grad应届毕业生","-","码农类General","全职","3","和微软差不多，比Citadel差不少","IC (Individual Contributor 技术岗，不管人)","2018-10-5 09:47:50","Google Seattle New Grad Master After Compete","倒序浏览","-","10500","应该不","7-9月","内推","1.538876854905E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447460&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","Texas","-","eBay","硕士","25/25/25/25","1-3年","在职跳槽","-","分析|数据科学类","全职","-","-","IC (Individual Contributor 技术岗，不管人)","2018-10-5 23:17:03","eBay DS","kk12345","-","-","不去","7-9月","内推","1.538876855709E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447559&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
"-","BayArea","-","Google","硕士","4 years","<3个月短暂实习/全职","fresh grad应届毕业生","很好，进去就办","码农类General","全职","3","目前没有","IC (Individual Contributor 技术岗，不管人)","2018-10-5 12:16:11","Google New Graduate","thomas1234","-","-","打算","4-6月","校园招聘会","1.538876855895E12","http://www.1point3acres.com/bbs/forum.php?mod=viewthread&tid=447497&extra=page%3D1%26filter%3Dsortid%26sortid%3D320%26sortid%3D320","2018","TrailItem"
