"time","level","message"
"2018-10-14 19:56:55","INFO","Log opened."
"2018-10-14 19:56:55","INFO","[scrapy.log] Scrapy 1.4.0 started"
"2018-10-14 19:56:56","INFO","[scrapy.utils.log] Scrapy 1.4.0 started (bot: trail)"
"2018-10-14 19:56:56","INFO","[scrapy.utils.log] Overridden settings: {'NEWSPIDER_MODULE': 'trail.spiders', 'STATS_CLASS': 'sh_scrapy.stats.HubStorageStatsCollector', 'ROBOTSTXT_OBEY': True, 'LOG_LEVEL': 'INFO', 'CLOSESPIDER_ERRORCOUNT': 10, 'AUTOTHROTTLE_ENABLED': True, 'LOG_ENABLED': False, 'SPIDER_MODULES': ['trail.spiders'], 'MEMUSAGE_LIMIT_MB': 950, 'TELNETCONSOLE_HOST': '0.0.0.0', 'BOT_NAME': 'trail', 'DOWNLOAD_DELAY': 0.5, 'USER_AGENT': 'Adsbot-Google'}"
"2018-10-14 19:56:56","INFO","[scrapy.middleware] Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats',
 'scrapy.extensions.debug.StackTraceDump',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.closespider.CloseSpider',
 'scrapy.extensions.spiderstate.SpiderState',
 'scrapy.extensions.throttle.AutoThrottle',
 'sh_scrapy.extension.HubstorageExtension']"
"2018-10-14 19:56:56","INFO","[scrapy.middleware] Enabled downloader middlewares:
['sh_scrapy.diskquota.DiskQuotaDownloaderMiddleware',
 'scrapy.downloadermiddlewares.robotstxt.RobotsTxtMiddleware',
 'scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats',
 'sh_scrapy.middlewares.HubstorageDownloaderMiddleware']"
"2018-10-14 19:56:56","INFO","[scrapy.middleware] Enabled spider middlewares:
['sh_scrapy.diskquota.DiskQuotaSpiderMiddleware',
 'sh_scrapy.middlewares.HubstorageSpiderMiddleware',
 'scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']"
"2018-10-14 19:56:56","INFO","[scrapy.middleware] Enabled item pipelines:
[]"
"2018-10-14 19:56:56","INFO","[scrapy.core.engine] Spider opened"
"2018-10-14 19:56:56","INFO","[scrapy.extensions.logstats] Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)"
